Name,Online_Order,Book_Table,Ratings,Dish_Liked,Approx_Cost(For Two People)
Paradox Rest-O-Cafe,Yes,No,3.7,"Sandwiches, Beer, Sandwich, Lasagne, Minotaur Steak, Dorai Chicken, Lemonade",600
Kenny's Restaurant,Yes,No,3.4,"Noodles, Chicken Lollipop",450
Anand Sweets and Savouries,Yes,No,4.0,"Chaat, Raj Kachori, Dhokla, Rasmalai, Paratha, Chole, Pav Bhaji",400
Yuan Restaurant,Yes,No,3.8,"Momos, Spring Roll, Manchow Soup, Dragon Noodles",600
The ThickShake Factory,No,No,4.1,Thick Shakes,350
The French Corner,No,No,3.4,Unknown,400
Punjab Bistro,Yes,No,4.0,"Makke Ki Roti, Paratha, Lassi, Panneer Butter Masala, Rajma Chawal, Dal Makhani, Chicken Tikka",500
Hotel The Shack,Yes,No,3.9,"Mocktails, Butter Chicken, Seekh Kebab",1000
Night Food Joint,Yes,No,2.9,Panneer Butter Masala,500
Art of Biryani & Curries,Yes,No,3.4,Unknown,250
Vera Italiano,Yes,No,4.1,"Pasta, Tiramisu, Tomato Soup, Carbonara, Chicken Lasagne, Strawberry Cheesecake, Salad",600
Punjabi Tadka,Yes,No,3.4,"Paneer Parantha, Mutton Biryani, Lassi, Dal Makhani, Thali, Aloo Paratha",400
Rasapoorna,Yes,No,3.2,Unknown,500
Chulha Chauki Da Dhaba,Yes,No,4.1,"Vegetable Biryani, Meetha Paan, Chana Masala, Sweet Lassi, Sweet Paan, Butter Chicken, Tandoori Chicken",800
Aioli,No,Yes,4.2,"Garlic Bread, Salad, Salads, Pita Bread, Lamb Chops, Sea Food, Steak",1400
The Urban Roof,Yes,No,3.9,"Chicken Burger, Pasta, Garlic Bread",800
Kiko,Yes,No,3.4,Unknown,500
Yi Moi Chinese Fast Food,No,No,3.4,Unknown,100
Udupi Gardenia,Yes,No,3.4,Unknown,400
Kolkata Famous Kati Roll,Yes,No,3.4,Unknown,150
S L V Food Joint,Yes,No,3.4,Unknown,250
Biriyani Nights,Yes,No,3.0,Biryani,500
Sherlock's Pub,Yes,Yes,3.8,"Chips, Cocktails, Veg Platter, Murgh Platter, Draught Beer, Potato Wedges, Pizza",1300
Snow'ora,Yes,No,4.3,"Bingsu, Mocktails, Custard, Chocolate Oreo, Sandwiches, Brownie, Korean Ice Cream",350
Cake House - Story Cafe,No,No,3.9,"Coffee, Cheesecake, Sweet Potato Cake, Hot Chocolate, Sweet Potato Latte, Ramen, French Toast",650
Khan Saheb Grills and Rolls,Yes,No,3.1,"Rolls, Mutton Seekh Roll, Malai Tikka, Chicken Tikka Roll, Mutton Baida Roti, Reshmi Tikka Roll, Beda Roti",350
Venky's Xprs,No,No,3.7,Unknown,350
Marakachi,Yes,No,3.7,Biryani,600
Eat Well,Yes,No,3.6,Panneer Butter Masala,400
FireHouse - Bar & Kitchen,Yes,Yes,3.9,"Cocktails, Peri Peri Chicken, Meat Pizza, Mojito, Buffalo Wings, Beer, Burgers",1500
Samprith Gowdru Mudde Hotel,Yes,No,3.5,Unknown,300
Shanghai Times,Yes,No,3.5,Unknown,500
Foodie's Affair,Yes,No,3.5,Unknown,400
7th Heaven,No,No,3.6,Unknown,400
Sanju's Super Kitchen,Yes,No,3.3,Unknown,400
DinePost9,Yes,No,3.9,"Roti, Noodles",450
Delicious Momos,No,No,3.9,"Momos, Noodles, Pork Momo, Chilli Chicken, Bbq Pork Ribs",200
Cake Dilim,No,No,3.55,Chocolate Cake,400
My China,No,No,3.0,Unknown,600
Reddy's Naati Mane,Yes,No,3.4,Unknown,400
Wok N Roll,Yes,No,3.9,"Momos, Shawarma",400
Bangalore Vibes,Yes,No,3.2,Unknown,300
"Cakes, Crumbs & Magic",No,No,3.3,Unknown,300
The Flavours,No,No,3.2,Unknown,500
Biryani Treats,No,No,2.6,"Rice, Hyderabadi Chicken Biryani, Raita, Vegetable Biryani",650
New Udupi Grand,No,No,3.6,Unknown,300
Chai Kada,No,No,3.6,Unknown,100
Paper Cup Cafe,No,No,3.5,Unknown,400
OvenTreats - Patisserie.Bistro,No,No,4.0,"Burgers, Chicken Steak, Cocktails, Beef Hash, Pork Ribs, French Toast",1000
Parantha Singh,No,No,3.7,Unknown,300
Crunchees Cafeteria,No,No,3.4,Unknown,400
Samosa Singh,No,No,4.0,"Chicken Keema Samosa, Aloo Samosa, Manchurian Samosa, Paneer Samosa",250
Nalukettu,Yes,No,3.5,Unknown,450
Urban Kitchen,Yes,No,3.4,Unknown,400
Kabsa House,No,No,3.6,Unknown,500
Cafe China,Yes,No,3.7,Noodles,500
Alibaba Cafe and Restaurant,No,No,2.9,"Biryani, Tea, Falafel, Hookah",700
Chaatimes,Yes,No,3.6,"Chaat, Dabeli, Panipuri",200
De3 - The Eatery,No,No,3.1,Unknown,250
Kolkata Hot Roll,No,No,3.4,Unknown,100
Al Karim,No,No,3.7,"Butter Chicken, Murgh Khurchan, Naan, Kulcha, Tandoori Roti, Mutton Biryani, Rice",600
The Second Wife,Yes,No,3.7,Chicken Chettinad,800
Silver Spoon Restaurant,Yes,No,3.2,Unknown,400
Sri Banasankri Donne Biriyani,No,No,3.4,Unknown,400
Al Madhina Roll House,No,No,3.4,Unknown,350
Meat Up Barbecue & More,No,No,3.7,Unknown,400
Skanda Cafe,No,No,3.5,Unknown,400
Gundappa Donne Biryani Mane,Yes,No,3.4,Unknown,300
Didi's Kitchen,Yes,No,3.1,Unknown,400
New York Burrito,No,No,3.1,Unknown,400
Biryani Bar,Yes,No,3.2,Unknown,500
The Grill House,Yes,Yes,4.0,"Burgers, Buffalo Wings, Chicken Wings, Nachos, Chicken Sizzler, Beer, Chicken Steak",1000
Kolkata Famous Kati Rolls,Yes,No,3.1,Unknown,200
AutoExpress - Hot Dogs,Yes,No,3.5,Unknown,300
Le Roll Cafe,Yes,No,3.9,"Rolls, Jumbo Shawarma",300
SS Bucket Biryani,No,No,4.0,"Brinjal Curry, Basmati Rice, Mutton Biryani",600
Nandhana Palace,No,Yes,4.1,"Biryani, Andhra Thali, Mutton Fry, Andhra Chilli Chicken, Chicken Kshatriya, Chicken Guntur, Bamboo Chicken",800
Raidan Restaurant,No,No,3.9,"Shawarma, Rolls, Biryani, Chicken Malhooth, Salad",450
Angaar Indian Grill & Restaurant,No,No,3.9,"Shawarma, Mutton Biryani, Angara Kebab, Ghee Rice",600
Sanju's Super Kitchen,No,No,3.5,Unknown,400
Delicious Momos,No,No,4.1,"Momos, Noodles, Pork Momo, Chilli Chicken, Bbq Pork Ribs",450
Donne Biriyani Mane,No,No,3.8,"Pepper Chicken, Donne Biryani, Chicken Biryani, Chicken Kebab",300
Wolga Restaurant,No,No,3.4,Unknown,600
Fatty Chang,Yes,No,3.2,Unknown,300
Whistling Tandoor,No,No,3.1,Unknown,600
Sri Sai Grand,No,No,3.6,"Boneless Biryani, Andhra Thali, Chicken Guntur",400
SHAIK's DYNASTY,No,No,3.2,Unknown,450
Lassi Shop,No,No,3.5,"Faluda, Sweet Lassi, Mango Lassi, Malai Kulfi",200
Hotel Hyderabadi,No,No,3.2,Unknown,300
Raees Restaurant,No,No,3.3,Unknown,500
Doner Bel,No,No,3.6,"Burgers, Doner Kebabs, Lamb Doner, Hummus Pita, Momos, Rolls, Chicken Doner",400
Bangarpet Chats,No,No,3.3,Unknown,80
CutePorkie,No,No,3.3,Unknown,400
La-Pizza,No,No,3.6,"Pasta, Burgers, Farm Pizza, Fries",450
Papanna's Biriyani,No,No,3.7,"Lemon Chicken, Chicken Biryani",350
Moghul's Restaurant,Yes,No,3.0,Unknown,700
Kings Court,Yes,No,3.1,Unknown,800
Midnight Food Point,Yes,No,2.7,"Biryani, Chicken Noodle, Butter Naan, Fried Rice Chicken, Chicken Manchurian, Noodles, Paratha",500
Delhiz Taste,Yes,No,3.5,Unknown,400
Sulemani Chichas,Yes,No,4.1,"Hyderabadi Biryani, Chicken Biryani, Mutton Paya, Mutton Biryani, Vegetable Biryani, Khichda, Tandoori Chicken",300
Hoppipola,Yes,Yes,4.4,"Mocktails, Masala Pizza, Salad, Cocktails, Wine, Chilli Chicken, Chicken Tikka",1200
Curries & Chillies,Yes,No,3.0,Unknown,300
7Biryanis,Yes,No,3.2,Unknown,600
Namak,Yes,No,3.1,Unknown,650
The French Loaf,Yes,No,3.5,"Coffee, Pasta, Sandwiches, Sunday Breakfast, Apple Pie, Hot Chocolate, Chicken Quiche",300
Twins,No,No,3.8,"Andhra Meal, Potato Wedges, Chicken Biryani, Chicken Satay, Dal Fry",500
Davis Bar And Restaurant,No,No,3.0,Unknown,700
Cottage Loaf,Yes,No,4.0,"Burgers, Plum Cake",250
The Pakoda Shop,Yes,No,3.4,Unknown,150
Farha Real Taste Of Kerala,Yes,No,3.1,Unknown,300
Lassi Corner,Yes,No,3.4,"Lassi, Brownie, Faluda, Kulfi, Coffee",250
Kaapikada,No,No,3.8,"Biryani, Appam, Chicken Curry",250
Mitraa Da Pizza,Yes,No,3.8,"Pizza, Burgers",250
Sangam Mess,No,No,4.2,"Beef Fry, Beef Biryani, Beef Curry, Roast Beef, Masala Prawn, Fish, Kerala Parotta",300
Abhiruchi,No,No,3.8,Biryani,650
Kannur Restaurant,No,No,3.7,Chicken Biryani,400
Karachi Bakery,Yes,No,3.7,Pasta,500
Al Ameen Rolls Corner,No,No,3.7,Unknown,200
Mojo Pizza - 2X Toppings,Yes,No,4.1,"Garlic Bread, Tex Mex Pizza, Pepperoni Pizza, Chicken Wings",600
Have More,No,Yes,3.9,"Lassi, Punjabi Chicken, Tandoori Chicken, Paratha, Butter Chicken, Aloo Tikki, Dahi Bhalle",700
Gold Line Breadz,No,No,3.7,"Sandwiches, Sausage Roll, Garlic Bread",350
Bucket Biriyani,No,No,3.5,Unknown,600
Shiva's Naram Garam,No,No,3.3,Unknown,250
ILA Kitchen,No,No,3.7,Unknown,500
Cafe Beirut,No,No,3.7,Shawarma,250
Creamyum,No,No,4.0,"Cup Cake, Chocolate Truffle",300
Malabar Food Court,No,No,3.4,Unknown,400
Cluxi,No,No,3.6,Unknown,300
Orchid Wine And Dine,No,No,3.0,Unknown,700
Sandesh,No,No,3.1,Unknown,400
Rolls On Wheels,No,No,2.8,"Rolls, Chicken Momo, Biryani, Paneer Roll",300
New Hilal Restaurant,No,No,4.0,"Ghee Rice, Butter Chicken, Hyderabadi Chicken, Methi Murg, Bheja Fry, Chicken Kebab, Tandoori Chicken",550
Taste Of The Nation,No,No,3.0,"Paneer Pasanda, Chicken Soup, Tandoori Chicken",650
Hotel Gowdru Mane,No,No,3.1,Unknown,400
Curries & Pickles,No,No,3.4,Unknown,200
Kartik,No,No,3.4,Unknown,700
Leela's Kitchen,No,No,3.8,"Appam, Roast Chicken, Duck Roast, Vegetable Stew",400
Dilli Highway,No,No,3.0,Unknown,400
Kenriy The Restro,No,No,3.3,Unknown,800
Mazedaar,No,No,3.2,Unknown,300
Shammah's,No,No,3.3,Unknown,300
Sprinkled,No,No,3.8,Unknown,500
Hayaat,No,No,3.4,Unknown,600
Pig Out,No,No,3.2,Unknown,300
Delish Chinese Fast Food,Yes,No,3.2,Unknown,300
Creme Bliss,Yes,No,3.9,Unknown,350
Zam Zam Restaurant,No,No,3.1,Unknown,400
Ahmad's Chicken Hut,No,No,3.2,Unknown,200
Ocean's Delight,No,No,3.4,Unknown,700
Sidekicks,No,No,3.4,Unknown,450
Central Cafe,No,No,3.2,Unknown,150
Opt For Fitness,No,No,3.4,Unknown,400
7 Spice,No,No,3.4,Unknown,250
Flayvours4u,No,No,3.2,Unknown,150
Innate,No,No,3.0,Unknown,400
Panchamukhi Sagar,No,No,3.2,Unknown,300
Shanghai Xpress,No,No,3.1,Unknown,300
Biriyummy,No,No,3.3,Unknown,250
Chickmate,No,No,3.4,Unknown,400
Cafeteria Al - Falah,No,No,3.3,Unknown,300
Grow Fit,No,No,3.8,"Pizza, Brownie, Chicken Biryani",500
Roll Junction,No,No,2.9,Unknown,150
Sri Datta Biryani House,No,No,3.5,Unknown,300
Bottoms Up Resto Bar,Yes,No,3.9,"Mocktails, Pizza, Cocktails, Beer, Pasta",1200
SK Tiffins Corner,Yes,No,3.3,Unknown,100
Jiffy Cafe,No,No,3.4,Unknown,500
Havmor,Yes,No,3.1,Unknown,200
Victoria Terminus,Yes,No,2.9,"Vada Pav, Kulfi, Mumbai Sandwich, Rolls, Keema Roll",250
Tawa Fresh,Yes,No,3.4,Unknown,300
Dharani Foods,No,No,3.7,Unknown,400
Best B Restaurant,Yes,No,3.5,Unknown,400
Sai Bhavan Veg & Non Veg,Yes,No,3.2,Unknown,400
Corner House Ice Cream,No,No,4.4,"Hot Chocolate Fudge, Fruit Salad, Brownie, Almond Fudge, Chocolate Milkshake, Mango Ice Cream, Vanilla Ice Cream",400
Mugful Of Stories,No,No,4.6,"Hot Chocolate, Peri Peri Fries, French Fries, Chocolate Churros, Cheese Nuggets",300
IceBreakers,No,No,3.9,"Ice Cream Roll, Waffles, Pizza, Nitrogen Ice Cream, Rolls, Brownie Fudge, Popcorn",500
The Original Bistro,No,No,4.1,"Gnocchi, Pasta, Veg Lasagna, Burgers, Grilled Steak, Pizza, Sandwiches",600
Thran Bakery,No,No,3.6,Unknown,600
Ibaco,Yes,No,3.9,Icecream Cake,300
Bombay Chowpaty Kulfi,No,No,3.7,"Malai Kulfi, Kulfi Faluda, Panipuri, Anjeer Kulfi, Chaat, Matka Kulfi, Mango Kulfi",250
KC Das - Elite Sweets,No,No,3.2,Unknown,200
The Twenty Handmade Chocolates,No,No,3.8,Unknown,200
Dream Scoopers,No,No,3.4,Unknown,200
Amma's Pastries,No,No,3.9,"Veg Puff, Egg Puff",400
Sri Krishna Sweets,No,No,3.7,Unknown,250
Bake N Joy,No,No,3.5,Unknown,500
Sri Venkateshwara Sweets Chats Juice Centre,No,No,3.4,Unknown,100
Sri Krishna Sweets,No,No,3.7,Unknown,150
A Little For Love,No,No,3.4,Unknown,350
Arun Icecreams,No,No,3.1,Unknown,150
CAD (M) CAD (B),No,No,3.2,Unknown,200
BYLI - Bet You Love It!,No,Yes,4.2,"Pizza, Sandwiches, Burgers, Nachos, Meatballs, Pasta Carbonara, Mocktails",800
Wanderers,No,Yes,4.0,"Pizza, Peri Peri Fries, Wheat Beer, Craft Beer, Chips, Stout, Chicken Burger",1500
Thran,No,Yes,4.2,"Ramen, Kimchi, Beef Bulgogi, Egg Soup, Salad, Clear Soup, Pork Bulgogi",1300
Chung Wah,Yes,Yes,4.0,"Clear Soup, Hunan Chicken, Lamb, Chowmein, Sweet Corn Soup, Hakka Noodles, Chicken Lollipop",800
Fiddler's Green,No,Yes,3.9,"Chicken Satay, Mocktails, Bruschettas",1200
Agent Jack's Bar,No,Yes,4.0,"Cocktails, Chicken Tikka Pizza, Chicken Popcorn, Sangria, Chilli Pork, Beer, Chicken Nachos",1300
A2B - Adyar Ananda Bhavan,Yes,No,3.6,"Kesari Bath, Pav Bhaji, Filter Coffee, Pongal, Tea, Idli, Vada",400
Swagatham Rayalaseema Ruchulu,Yes,No,3.3,Unknown,600
Tang of Jamaica,No,No,3.4,Unknown,900
Oregano Pizzeria,No,No,3.5,"Pizza, Pasta, Burgers, Lasagne, Masala Garlic Bread",300
Irie,No,No,3.2,Unknown,800
Specialist Restaurant,No,No,3.1,Unknown,400
Sugar N Spice,No,No,2.7,Unknown,400
Pizza Hut,Yes,No,2.7,"Kurkure Pizza, Garlic Bread, Pasta, Masala Lemonade, Chicken Wings, Double Trouble, Veggie Pizza",750
Mavalli Tiffin Room (MTR),No,No,4.1,"Coffee, Rava Idli, Kesari Bath, Rava Masala Dosa, Badam Halwa, Vada, Pongal",250
Vietnamese Kitchen,No,No,3.1,"Pho, Pad Thai, Jasmine Tea, Spring Roll, Chocolate Shake, Thai Green Curry, Momos",150
SGS Nonveg- Gundu Palav,No,No,3.6,Unknown,400
New Udupi Upahara,No,No,3.6,"Panneer Butter Masala, Vada, Filter Coffee, Tandoori Roti",200
Chetty's Coffee,No,No,3.5,"Masala Dosa, Caramel Coffee, Filter Coffee, Vada",150
Ambur Hot Dum Biriyani,No,No,3.1500000000000004,Unknown,120
Bismilla Kabab & Biryani Centre,No,No,3.2,Unknown,300
Sri Krishna Bhavan,No,No,3.5,Unknown,250
Juba Cafe,No,No,3.4,Unknown,100
Paranthas and Dosas,No,No,3.7,"Aloo Paratha, Masala Dosa, Coffee, Dahi Vada, Paneer Parantha, Sweet Lassi, Mix Veg Parantha",400
New Taj Biryani Centre,No,No,3.5,Unknown,300
Arirang Korean Restaurant,No,Yes,4.0,"Chicken Gimbap, Sushi, Kimchi, Bulgogi, Beef Bibimbap, Sea Food, Wine",1400
Al-Badia Restaurant,No,No,4.2,"Baklava, Arabic Cuisine, Mutton Mandi, Shawarma Roll, Arabian Kebab",700
Food Star,No,No,3.2,Unknown,500
Bite and Pipes,No,No,3.5,Unknown,500
Al Amanah Cafe,Yes,No,4.4,"Rolls, Jumbo Chicken Roll, Falafel Roll, Chicken Kudu Roll, Mutton Roll, Shawarma, Spicy Roll",300
Burger King,Yes,No,3.9,"Burgers, Fries, Mutton Whopper, Chicken Grill, Mango Shake, Chicken Whopper, Chocolate Milkshake",600
KFC,Yes,No,3.1,"Hot Wings, Crispy Chicken, Popcorn Chicken, Rice Bowl, Rice Bowls, Zinger Burger",450
Biryani Joint,No,No,3.3,Unknown,200
Wood Fire Pizza,Yes,No,3.1,Unknown,350
Ambur Biriyani Zone,No,No,3.2,Unknown,200
Al Ghani Resetaurant,No,No,3.3,Unknown,400
New Udupi Grand,No,No,3.6,Unknown,200
Banarasi Chat Centre,No,No,3.2,Unknown,150
Ice Berg,No,No,3.3,Unknown,300
Sree Gajanana Fruit Juice Centre,No,No,3.3,Unknown,150
Ambur Biryani,No,No,3.35,Unknown,250
McDonald's,Yes,No,2.9,"Burgers, Fries, Mc Chicken, Mc Veggie Burger",500
Pecos Mojo,No,No,4.0,"Beer, Beef Chilli",1100
The Story Wall Bistro,No,No,3.7,Unknown,600
Biriyani House,Yes,No,3.8,Biryani,600
Lil Asia,No,No,3.3,Unknown,350
Pooja Dosa Camp,No,No,4.0,"Podi Dosa, Vada, Pongal, Ghee Dosa, Masala Dosa, Coffee",200
New Shanthi Sagar,No,No,2.9,"Coffee, Vada, Rava Masala Dosa, Faluda, Rice, Idli",450
Al Barack Cafetaria,No,No,3.6,Unknown,300
Mayonaise,Yes,No,3.8,"Chicken Fries, Burgers, Zinger Burger",500
De Grand,Yes,No,3.3,Unknown,600
Sultan - Palace Darbar Restaurant,No,No,3.3,Unknown,400
Srinidhi Upachar,No,No,3.6,"Coffee, Vada, Masala Dosa, Gulab Jamun",200
New Salem Spices,No,No,3.5,"Chicken Biryani, Chicken Thali",600
Coffee Thindi,No,No,3.5,Unknown,150
Chintu Chit Chat Centre,No,No,3.6,Unknown,100
The Sky Lounge - Tamarind Hospitality,No,No,3.7,"Momos, Biryani, Beer, Cocktails, Fried Rice",1200
Kanti Sweets,Yes,No,3.8,"Badam Milk, Chaat, Sev Puri, Gol Gappe",400
Degchi Restaurant,No,No,3.7,"Aloo Paratha, Highway Chicken, Amritsari Kulcha, Veg Platter, Roti, Garlic Naan",600
New Udupi Park,No,No,3.0,Unknown,400
Ambur Hot Dum Biriyani,No,No,3.1500000000000004,Unknown,200
Just Protein,No,No,3.4,Unknown,350
Sri Devi Sagar,No,No,3.7,Masala Dosa,300
Raghavendra Bhavan,No,No,3.2,Unknown,250
Sri Sagar,No,No,3.5,Unknown,300
Madurai Idly Dosai Centre,No,No,3.3,Unknown,150
Hatti Punjab Di,No,No,3.4,"Aloo Paratha, Burgers, Momos, Gulab Jamun, Mutton Roganjosh, Noodles, Butter Chicken",550
Leung Fast Food,No,No,3.5,Unknown,400
New Udupi Park Deluxe,No,No,3.6,"Masala Dosa, Thali, Rice",400
Mubarak Hotel,No,No,3.5,Unknown,150
Vijayalakshmi Veg,Yes,No,3.8,"Vada, Rava Idli, Masala Dosa, Coffee",200
Corner House Ice Cream,Yes,No,4.4,"Hot Chocolate Fudge, Chocolate Fudge Sundae, Fruit Salad",400
D-Zaprino,Yes,No,3.8,"Burgers, French Fries, Big Daddy Burger, Maggi, Sweet Corn Pizza, Omelette, Sandwich",350
Kanti Sweets,Yes,No,4.0,"Rasgulla, Chaat, Rasmalai, Mysore Pak, Badam Milk, Sandwiches, Barfi",400
Domino's Pizza,Yes,No,3.8,Chocolava,400
Grub Bucket,Yes,No,3.3,Unknown,300
Shanti Sweets,Yes,No,3.8,Unknown,300
US Pizza,Yes,No,2.8,Pizza,700
Shanti Sweets,Yes,No,3.8,Unknown,100
Soham Bombay Masti Magic,Yes,No,3.6,Unknown,150
Swad,No,No,2.6,"Roti, Paratha, Biryani, Thali",400
Sweet Chariot,Yes,No,3.2,"Chicken Lasagne, Chocolate Cake, Mushroom Quiche, Sandwiches, Pizza, Steak",500
Zamindars Biryani Durbar,Yes,Yes,4.3,Hyderabadi Chicken Dum Biryani,600
New Shanthi Sagar,Yes,No,3.0,"Coffee, Vada, Rava Masala Dosa, Faluda, Rice, Idli",600
The Red Lantern,Yes,No,3.7,Noodles,800
Taste of Bihar,Yes,No,3.7,Unknown,300
The Filter Coffee,Yes,No,4.1,"Filter Coffee, Vada, Masala Dosa, Pongal, Idli, Onion Uttapam, Kesari Bath",200
Calcutta Victoria Chat House,Yes,No,2.8,"Chaat, Paratha, Panipuri, Pav Bhaji, Dahipuri, Tea, Rolls",200
Truffles,No,No,4.5,"Burgers, Orange Mojito, Pasta, Ferrero Rocher Shake, Cheese Burger, Chaat, Chicken Paprika",900
Chintu Chit Chat Centre,No,No,3.5,Unknown,100
California Burrito,No,No,3.4,"Nachos, California Burrito, Rice Bowl, Salads",400
Hyderbadi Irani Tea,No,No,3.4,Unknown,100
Nutri Fit,No,No,3.4,Unknown,300
S-Aachies Hotel,No,No,3.2,Unknown,300
Banarasi Tadka,Yes,No,2.8,Unknown,200
Facebake,Yes,No,3.7,"Butterscotch Cake, Irish Coffee",300
SS Bucket Biryani,No,No,4.0,"Brinjal Curry, Basmati Rice, Mutton Biryani, Raita",600
Nandhana Palace,No,Yes,4.2,"Biryani, Andhra Thali, Bamboo Chicken, Mutton Fry, Chicken Kshatriya, Chicken Guntur, Andhra Chilli Chicken",800
Onesta,Yes,Yes,4.4,"Chicken Tikka Pizza, Ricotta Ravioli, Paneer Tikka Pizza, Pasta, Pepperoni, Barbeque Chicken, Mocktails",600
Connie's Restaurant & Steakhouse,Yes,Yes,4.3,"Steak, Garlic Bread, Burgers, Pasta, Chicken Wings, Salads, Mashed Potato",1500
Raidan Restaurant,No,No,3.9,"Shawarma, Rolls, Biryani, Chicken Malhooth, Salad",450
Giselle Resto Cafe,Yes,Yes,4.2,"Steak, Mocktails, Pancakes, Burgers, Wings, Paneer Pizza, Wood Fire Pizza",800
OKI,Yes,Yes,4.5,"Khau Suey, Ravioli, Pork Ribs, Basil Pannacotta, Tender Coconut Ice Cream, Mocktails, Sushi",1200
Mahadii's,Yes,No,3.8,"Sea Food, Andhra Meal, Mutton Biryani, Mutton Chops, Noodles, Brownie, Tandoori Chicken",600
Thalassery Restaurant,Yes,No,4.0,"Chicken Biryani, Fish Curry, Appam, Masala Prawn, Chicken Curry, Butter Chicken, Thali",800
Arirang Korean Restaurant,No,Yes,4.0,"Chicken Gimbap, Sushi, Beef Bibimbap, Bulgogi, Kimchi, Japchae, Sea Food",1400
Sangam Mess,No,No,4.2,"Beef Biryani, Beef Fry, Beef Curry, Roast Beef, Masala Prawn, Fish, Kerala Parotta",300
Delicious Momos,No,No,4.1,"Momos, Pork Momo, Noodles, Fried Rice, Chilli Chicken, Bbq Pork Ribs",450
Abhiruchi,No,No,3.8,Biryani,650
The Mangalorean,Yes,Yes,4.1,"Neer Dosa, Sea Food, Roast Pork, Fish, Murgh Ghee Roast, Biryani, Prawn Ghee Roast",550
Kannur Restaurant,Yes,No,3.8,Chicken Biryani,400
Savoury Restaurant,Yes,No,3.7,"Chicken Grill, Shawarma, Tandoori Chicken, Lassi, Noodles, Chicken Shawarama, Arabian Grape Juice",800
Vanas,Yes,No,4.0,"Sea Food, Prawn Ghee Roast, Neer Dosa, Fish Curry",550
Churrascaria Brazil,No,No,4.1,"Salads, Pineapple Grill, Caramel Custard, Caramel Pudding, Chicken Sausages",1400
New Peking,Yes,No,4.0,"Noodles, Seafood Soup, Hunan Chicken, Chicken Momo, Prawn, Vanilla Ice Cream, Steak",700
Empire Restaurant,Yes,No,4.1,"Ghee Rice, Chicken Grill, Alfam Chicken, Mutton Biryani, Fruit Salad, Peri Peri Chicken, Shawarma",750
Al-Badia Restaurant,No,No,4.2,"Baklava, Arabic Cuisine, Mutton Mandi, Shawarma Roll, Arabian Kebab",700
Hyderabad Biryaani Palace,Yes,No,3.4,"Hyderabadi Biryani, Chicken 65",750
Cafe Thulp,No,No,4.0,"Burgers, Sandwiches, Pasta, Moo Burger, Cheesy Fries, Beef Burger, Potato Skins",1000
Yomama!!,Yes,Yes,3.6,"Burgers, Spaghetti, Beef Burger, Cheesecake, Steak, Chicken Burger, Pasta",800
Samovar,Yes,No,3.9,"Fish Fry, Paratha, Kerala Parotta, Sea Food, Tea, Ghee Rice",600
Regency Park,Yes,No,3.6,"Rolls, Chicken Roll, Biryani, Panneer Butter Masala, Ghee Rice, Rumali Roti",700
Have More,No,Yes,3.9,"Lassi, Tandoori Chicken, Paratha, Punjabi Chicken, Aloo Tikki, Butter Chicken, Aam Panna",700
Twins,No,No,3.8,"Andhra Meal, Potato Wedges, Chicken Biryani, Chicken Satay, Dal Fry",500
Food Star,No,No,3.2,Unknown,500
Rahhams,Yes,No,3.5,"Mutton Biryani, Jeera Rice, Chicken Sholay, Chicken Biryani, Mutton Chops, Kheer, Phirni",700
Sumac Resto Cafe,No,No,3.5,Unknown,400
Al Amal Cafe,No,No,4.0,Unknown,300
Asia In A Box,Yes,No,2.9,Unknown,550
Paaramparya Restaurant,Yes,No,3.6,Unknown,600
18+ Ice Cafe,No,No,3.5,Unknown,550
Bhajanka's Restaurant,No,No,3.6,Unknown,700
Wild Range Restaurant,Yes,No,3.8,Unknown,600
Maddy's Cafe,Yes,No,3.8,Unknown,500
A2B - Adyar Ananda Bhavan,Yes,No,3.8,"Idli, Masala Dosa, Vada, Filter Coffee, Pav Bhaji",600
Zu's Doner Kebaps,Yes,No,3.6,Unknown,350
SHAIK's DYNASTY,No,No,3.2,Unknown,450
Kenriy The Restro,No,No,3.3,Unknown,800
Hayaat,No,No,3.4,Unknown,600
Bite and Pipes,No,No,3.5,Unknown,500
Panda Boy,Yes,No,3.9,"Noodles, Chicken Wings, Chop Suey, Chilli Chicken, Honey Chilli Wings, Spring Chicken",550
H3O,No,No,3.1,Unknown,1000
Ocean's Delight,No,No,3.4,Unknown,700
Sukh Sagar,Yes,No,2.7,"Rava Masala Dosa, Chaat, Dal Tadka, Onion Dosa, Thali, Tomato Soup, Tea",450
White Oak Cafe,No,No,2.6,Unknown,600
Davis Bar And Restaurant,No,No,3.0,Unknown,700
Al Amanah Cafe,Yes,No,4.4,"Rolls, Falafel Roll, Jumbo Chicken Roll, Chicken Kudu Roll, Spicy Roll, Mutton Roll, Shawarma",300
Kaapikada,No,No,3.8,"Biryani, Appam, Chicken Curry",250
Big Chicken,Yes,No,3.9,"Chicken Burger, Popcorn Chicken, Burgers, Sandwich, Fries",400
Huko Mukho Hangla,Yes,No,4.0,"Fish, Mutton Kasha, Mutton Curry, Mutton Kosha, Mutton Thali, Doi Katla, Aalo Bhaja",400
Burger King,Yes,No,3.9,"Burgers, Fries, Mutton Whopper, Chicken Grill, Mango Shake, Chicken Whopper, Chicken Burger",600
Home Food,Yes,No,3.5,Unknown,300
